category_key,category_id,category_name
289,nocategory.289,"14.42 Mechatronics, robotics, and automation engineering"
288,nocategory.288,14.41 Electromechanical engineering
4,nocategory.4,13. Education
281,nocategory.281,14.34 Forest engineering
280,nocategory.280,14.33 Construction engineering
283,nocategory.283,14.36 Manufacturing engineering
282,nocategory.282,14.35 Industrial engineering
285,nocategory.285,14.38 Surveying engineering
284,nocategory.284,14.37 Operations research
287,nocategory.287,14.40 Paper science and engineering
286,nocategory.286,14.39 Geological/geophysical engineering
263,nocategory.263,14.09 Computer engineering
262,nocategory.262,14.08 Civil engineering
261,nocategory.261,14.07 Chemical engineering
260,nocategory.260,14.06 Ceramic sciences and engineering
267,nocategory.267,14.13 Engineering science
266,nocategory.266,14.12 Engineering physics/applied physics
265,nocategory.265,14.11 Engineering mechanics
264,nocategory.264,"14.10 Electrical, electronics and communications engineering"
269,nocategory.269,14.18 Materials engineering
268,nocategory.268,14.14 Environmental/environmental health engineering
59,nocategory.59,23.13 English rhetoric and composition/writing studies
58,nocategory.58,"23.01 English language and literature, general"
55,nocategory.55,16.17 Second language learning
54,nocategory.54,16.16 Sign language
57,nocategory.57,23. English language and literature/letters
56,nocategory.56,"16.99 Aboriginal and foreign languages, literatures and linguistics, other"
51,nocategory.51,"16.13 Celtic languages, literatures and linguistics"
50,nocategory.50,"16.12 Classics and classical languages, literatures and linguistics"
53,nocategory.53,"16.15 Turkic, Uralic-Altaic, Caucasian and Central Asian languages, literatures and linguistics"
52,nocategory.52,"16.14 Southeast Asian and Australasian/Pacific languages, literatures and linguistics"
63,nocategory.63,"24.01 Liberal arts and sciences, general studies and humanities"
115,nocategory.115,"22.99 Legal professions and studies, other"
114,nocategory.114,22.03 Legal support services
117,nocategory.117,30.10 Biopsychology
116,nocategory.116,30.05 Peace studies and conflict resolution
111,nocategory.111,22.00 Non-professional general legal studies (undergraduate)
110,nocategory.110,22. Legal professions and studies
113,nocategory.113,22.02 Legal research and advanced professional studies (post-LLB/JD)
112,nocategory.112,"22.01 Law (LLB, JD, BCL)"
119,nocategory.119,30.14 Museology/museum studies
118,nocategory.118,30.11 Gerontology
429,nocategory.429,49.03 Marine transportation
428,nocategory.428,49.02 Ground transportation
421,nocategory.421,43. Security and protective services
420,nocategory.420,29.05 Military technologies and applied sciences
423,nocategory.423,43.02 Fire protection
422,nocategory.422,43.01 Criminal justice and corrections
425,nocategory.425,"43.99 Security and protective services, other"
424,nocategory.424,"43.03 Security and protective services, specialized programs"
427,nocategory.427,49.01 Air transportation
426,nocategory.426,49. Transportation and materials moving
308,nocategory.308,15.13 Drafting/design engineering technologies/technicians
309,nocategory.309,15.14 Nuclear engineering technology/technician
300,nocategory.300,15.05 Environmental control technologies/technicians
301,nocategory.301,15.06 Industrial production technologies/technicians
302,nocategory.302,15.07 Quality control and safety technologies/technicians
303,nocategory.303,15.08 Mechanical engineering related technologies/technicians
304,nocategory.304,15.09 Mining and petroleum technologies/technicians
305,nocategory.305,15.10 Construction engineering technology/technician
306,nocategory.306,15.11 Engineering-related technologies
307,nocategory.307,15.12 Computer engineering technologies/technicians
229,nocategory.229,11.10 Computer/information technology administration and management
228,nocategory.228,11.09 Computer systems networking and telecommunications
227,nocategory.227,11.08 Computer software and media applications
226,nocategory.226,11.07 Computer science
225,nocategory.225,11.06 Data entry/microcomputer applications
224,nocategory.224,11.05 Computer systems analysis/analyst
223,nocategory.223,11.04 Information science/studies
222,nocategory.222,11.03 Data processing and data processing technology/technician
221,nocategory.221,11.02 Computer programming
220,nocategory.220,"11.01 Computer and information sciences and support services, general"
391,nocategory.391,"51.25 Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)"
390,nocategory.390,51.24 Veterinary medicine (DVM)
151,nocategory.151,44. Public administration and social service professions
150,nocategory.150,30.16 Accounting and computer science
153,nocategory.153,44.02 Community organization and advocacy
152,nocategory.152,"44.00 Human services, general"
155,nocategory.155,44.05 Public policy analysis
154,nocategory.154,44.04 Public administration
157,nocategory.157,"44.99 Public administration and social service professions, other"
156,nocategory.156,44.07 Social work
159,nocategory.159,"52.01 Business/commerce, general"
158,nocategory.158,"52. Business, management, marketing and related support services"
399,nocategory.399,51.36 Movement and mind-body therapies
398,nocategory.398,51.35 Somatic bodywork and related therapeutic services
48,nocategory.48,"16.10 Aboriginal languages, literatures and linguistics"
49,nocategory.49,"16.11 Middle/Near Eastern and Semitic languages, literatures and linguistics"
46,nocategory.46,"16.08 Iranian languages, literatures and linguistics"
47,nocategory.47,"16.09 Romance languages, literatures and linguistics"
44,nocategory.44,16.06 Modern Greek language and literature
45,nocategory.45,"16.07 South Asian languages, literatures and linguistics"
42,nocategory.42,"16.04 Slavic, Baltic and Albanian languages, literatures and linguistics"
43,nocategory.43,"16.05 Germanic languages, literatures and linguistics"
40,nocategory.40,"16.02 African languages, literatures and linguistics"
41,nocategory.41,"16.03 East Asian languages, literatures and linguistics"
5,nocategory.5,"13.01 Education, general"
